Fecha,Número de recibo,Tipo de recibo,Categoria,REF,Artículo,Variante,Modificadores aplicados,Cantidad,Ventas brutas,Descuentos,Ventas netas,Costo de los bienes,Beneficio bruto,Impuestos,Tipo de pedido,TPV,Tienda,Nombre del cajero,Nombre del cliente,Contactos del cliente,Comentario,Estado
8/5/2026 11:35 p. m.,18-9613,Venta,Refrescos,10459,Refresco sabor,SQUIRT / 600ML,,1.000,35.00,0.00,35.00,10.00,25.00,0.00,A domicilio,TPV 5,Master burger,Meseros,,,,Cerrado
8/5/2026 11:35 p. m.,18-9613,Venta,Refrescos,10089,COCA,600ML,,1.000,35.00,0.00,35.00,0.00,35.00,0.00,A domicilio,TPV 5,Master burger,Meseros,,,,Cerrado
8/5/2026 11:35 p. m.,18-9613,Venta,Refrescos,10188,BOING CAJA,MANZANA,,1.000,35.00,0.00,35.00,0.00,35.00,0.00,A domicilio,TPV 5,Master burger,Meseros,,,Fresa,Cerrado
8/5/2026 11:35 p. m.,18-9613,Venta,Refrescos,10456,Refresco sabor,MANZANA / 600ML,,2.000,70.00,0.00,70.00,20.00,50.00,0.00,A domicilio,TPV 5,Master burger,Meseros,,,,Cerrado
8/5/2026 11:35 p. m.,18-9613,Venta,Tacos,10308,Tacos,LONGANIZA,Extra queso taco,4.000,160.00,0.00,160.00,72.00,88.00,0.00,A domicilio,TPV 5,Master burger,Meseros,,,,Cerrado
8/5/2026 11:35 p. m.,18-9613,Venta,Envios,10040,Envío local,,,1.000,20.00,0.00,20.00,0.00,20.00,0.00,A domicilio,TPV 5,Master burger,Meseros,,,,Cerrado
8/5/2026 11:35 p. m.,18-9612,Venta,Alitas y Boneless,10307,Alitas kg,,,1.000,220.00,0.00,220.00,72.00,148.00,0.00,Comer dentro,TPV 5,Master burger,Meseros,,,"BBQ ",Cerrado
8/5/2026 11:35 p. m.,18-9612,Venta,Alitas y Boneless,10146,Papas a la francesa,,,1.000,60.00,0.00,60.00,0.00,60.00,0.00,Comer dentro,TPV 5,Master burger,Meseros,,,,Cerrado
8/5/2026 11:34 p. m.,18-9611,Venta,Tacos,10036,Tacos,Bisteck,,1.000,35.00,0.00,35.00,0.00,35.00,0.00,Comer dentro,TPV 5,Master burger,Meseros,,,,Cerrado
8/5/2026 11:34 p. m.,18-9611,Venta,Tacos,10289,Tacos,CHULETA,,1.000,35.00,0.00,35.00,18.00,17.00,0.00,Comer dentro,TPV 5,Master burger,Meseros,,,,Cerrado
8/5/2026 11:34 p. m.,18-9611,Venta,Alitas y Boneless,10147,ALITAS,bbq,papas gajo,1.000,140.00,0.00,140.00,48.00,92.00,0.00,Comer dentro,TPV 5,Master burger,Meseros,,,,Cerrado
